response,context,context/0,context/1,context/2,context/3,context/4,context/5
And Jessica's gonna be Eve.,Ohh...,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",Jessica? From my math class?,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",T-t-that's absolutely crazy!,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",What?! A bomb?!
Whhhh-wha?,And Jessica's gonna be Eve.,Ohh...,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",Jessica? From my math class?,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",T-t-that's absolutely crazy!,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start."
"And so that's the surprise, Morty.",Whhhh-wha?,And Jessica's gonna be Eve.,Ohh...,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",Jessica? From my math class?,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",T-t-that's absolutely crazy!
"No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!","And so that's the surprise, Morty.",Whhhh-wha?,And Jessica's gonna be Eve.,Ohh...,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",Jessica? From my math class?,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica."
"I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!","And so that's the surprise, Morty.",Whhhh-wha?,And Jessica's gonna be Eve.,Ohh...,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",Jessica? From my math class?
"What are you talking about, Rick?","I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!","And so that's the surprise, Morty.",Whhhh-wha?,And Jessica's gonna be Eve.,Ohh...,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam."
"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.","What are you talking about, Rick?","I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!","And so that's the surprise, Morty.",Whhhh-wha?,And Jessica's gonna be Eve.,Ohh...
I don't care about Jessica! Y-Yyyyyyyyyyou—,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.","What are you talking about, Rick?","I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!","And so that's the surprise, Morty.",Whhhh-wha?,And Jessica's gonna be Eve.
"You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.",I don't care about Jessica! Y-Yyyyyyyyyyou—,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.","What are you talking about, Rick?","I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!","And so that's the surprise, Morty.",Whhhh-wha?
"That's it... that's it, Rick. I'm taking the wheel.","You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.",I don't care about Jessica! Y-Yyyyyyyyyyou—,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.","What are you talking about, Rick?","I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!","And so that's the surprise, Morty."
"Get off of me, Morty!","That's it... that's it, Rick. I'm taking the wheel.","You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.",I don't care about Jessica! Y-Yyyyyyyyyyou—,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.","What are you talking about, Rick?","I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!"
"I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!","Get off of me, Morty!","That's it... that's it, Rick. I'm taking the wheel.","You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.",I don't care about Jessica! Y-Yyyyyyyyyyou—,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.","What are you talking about, Rick?","I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty."
"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.","I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!","Get off of me, Morty!","That's it... that's it, Rick. I'm taking the wheel.","You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.",I don't care about Jessica! Y-Yyyyyyyyyyou—,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.","What are you talking about, Rick?"
Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.","I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!","Get off of me, Morty!","That's it... that's it, Rick. I'm taking the wheel.","You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.",I don't care about Jessica! Y-Yyyyyyyyyyou—,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty."
"We'll park it right here, Morty. Right here on the side of the ree... road here.",Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.","I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!","Get off of me, Morty!","That's it... that's it, Rick. I'm taking the wheel.","You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.",I don't care about Jessica! Y-Yyyyyyyyyyou—
"Oh, thank god.","We'll park it right here, Morty. Right here on the side of the ree... road here.",Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.","I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!","Get off of me, Morty!","That's it... that's it, Rick. I'm taking the wheel.","You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways."
"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.","Oh, thank god.","We'll park it right here, Morty. Right here on the side of the ree... road here.",Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.","I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!","Get off of me, Morty!","That's it... that's it, Rick. I'm taking the wheel."
It was?,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.","Oh, thank god.","We'll park it right here, Morty. Right here on the side of the ree... road here.",Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.","I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!","Get off of me, Morty!"
"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",It was?,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.","Oh, thank god.","We'll park it right here, Morty. Right here on the side of the ree... road here.",Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.","I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!"
Um...,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",It was?,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.","Oh, thank god.","We'll park it right here, Morty. Right here on the side of the ree... road here.",Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty."
I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Um...,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",It was?,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.","Oh, thank god.","We'll park it right here, Morty. Right here on the side of the ree... road here.",Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.
"Oh my God, his head is in his food. I'm going to puke.",I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Um...,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",It was?,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.","Oh, thank god.","We'll park it right here, Morty. Right here on the side of the ree... road here."
"Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.","Oh my God, his head is in his food. I'm going to puke.",I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Um...,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",It was?,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.","Oh, thank god."
"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.","Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.","Oh my God, his head is in his food. I'm going to puke.",I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Um...,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",It was?,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive."
Or maybe you were out all night again with Grandpa Rick.,"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.","Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.","Oh my God, his head is in his food. I'm going to puke.",I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Um...,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",It was?
What?,Or maybe you were out all night again with Grandpa Rick.,"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.","Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.","Oh my God, his head is in his food. I'm going to puke.",I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Um...,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—"
Dad?,What?,Or maybe you were out all night again with Grandpa Rick.,"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.","Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.","Oh my God, his head is in his food. I'm going to puke.",I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Um...
"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",Dad?,What?,Or maybe you were out all night again with Grandpa Rick.,"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.","Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.","Oh my God, his head is in his food. I'm going to puke.",I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?
Damn it!,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",Dad?,What?,Or maybe you were out all night again with Grandpa Rick.,"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.","Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.","Oh my God, his head is in his food. I'm going to puke."
Jerry!,Damn it!,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",Dad?,What?,Or maybe you were out all night again with Grandpa Rick.,"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.","Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it."
Beth!,Jerry!,Damn it!,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",Dad?,What?,Or maybe you were out all night again with Grandpa Rick.,"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something."
"Oh my god, my parents are so loud, I want to die.",Beth!,Jerry!,Damn it!,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",Dad?,What?,Or maybe you were out all night again with Grandpa Rick.
"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.","Oh my god, my parents are so loud, I want to die.",Beth!,Jerry!,Damn it!,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",Dad?,What?
"Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?","Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.","Oh my god, my parents are so loud, I want to die.",Beth!,Jerry!,Damn it!,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",Dad?
"Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.","Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?","Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.","Oh my god, my parents are so loud, I want to die.",Beth!,Jerry!,Damn it!,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?"
"Oh, dad…","Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.","Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?","Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.","Oh my god, my parents are so loud, I want to die.",Beth!,Jerry!,Damn it!
What? For real?,"Oh, dad…","Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.","Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?","Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.","Oh my god, my parents are so loud, I want to die.",Beth!,Jerry!
"Alright, now, everybody get settled. Get away from the windows!",What? For real?,"Oh, dad…","Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.","Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?","Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.","Oh my god, my parents are so loud, I want to die.",Beth!
"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two.","Alright, now, everybody get settled. Get away from the windows!",What? For real?,"Oh, dad…","Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.","Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?","Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.","Oh my god, my parents are so loud, I want to die."
Jessica.,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two.","Alright, now, everybody get settled. Get away from the windows!",What? For real?,"Oh, dad…","Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.","Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?","Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later."
Five plus five.,Jessica.,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two.","Alright, now, everybody get settled. Get away from the windows!",What? For real?,"Oh, dad…","Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.","Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?"
Jessica.,Five plus five.,Jessica.,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two.","Alright, now, everybody get settled. Get away from the windows!",What? For real?,"Oh, dad…","Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them."
"Okay, good. It's time for the quiz.",Jessica.,Five plus five.,Jessica.,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two.","Alright, now, everybody get settled. Get away from the windows!",What? For real?,"Oh, dad…"
"Yeah, you know what?! Aw, too bad! Tough! First row, take one. Pass it back for me. The stakes are high in this room.  There's crucial things happening here every day. People getting smarter. Some of y'all getting dumber. Some of y'all ain't gonna see 3","Okay, good. It's time for the quiz.",Jessica.,Five plus five.,Jessica.,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two.","Alright, now, everybody get settled. Get away from the windows!",What? For real?
